,Policy,Total Sentences,Total Words,Total Explicit,Total Implicit,Total Other,Total Actions,Total Data Objects,Total Purposes
1710,SmartenSpaces,25,509,0,2,23,25,7,25
1711,SmarterSorting,63,1449,0,5,58,63,26,63
1712,smartFAB,53,869,0,1,52,53,12,53
1713,SmartFactory,31,667,0,3,28,31,15,31
1714,SmartSensedoo,48,883,0,2,46,48,16,48
1715,SmartSystemsHub,92,1889,0,2,90,92,32,92
1716,SmartTouchSystemsO,34,697,0,2,32,34,11,34
1717,SMARTWirelessComputing,13,174,0,0,13,13,3,13
1718,Sngular,86,1791,0,1,85,86,26,86
1719,SoCeSystemonChipEngineering,7,93,0,0,7,7,0,7
1720,Sodacar,167,3307,0,17,150,167,50,167
1721,SoftChef,40,739,0,2,38,40,15,40
1722,SoftDEL,57,1493,0,5,52,57,23,57
1723,Softdesigners,54,1523,0,5,49,54,23,54
1724,Softeq,85,1946,0,5,80,85,43,85
1725,Softing,230,4072,0,13,217,230,66,230
1726,Softlink,103,1824,0,5,98,103,25,103
1727,Softnautics,25,361,0,0,25,25,7,25
1728,SoftwareAG,117,2082,0,7,110,117,45,117
1729,SOLCON,169,3408,0,11,158,169,55,169
1730,SolePower,35,740,0,5,30,35,14,35
1731,SolidPartners,36,654,0,1,35,36,12,36
1732,SolidRun,65,995,0,4,61,65,15,65
1733,Soloinsight,50,1160,0,2,48,50,16,50
1734,SoluLab,22,355,0,1,21,22,6,22
1735,SoluLabOfficial,22,355,0,1,21,22,6,22
1736,SolutionAnalysts,47,1119,0,0,47,47,18,47
1737,SOLX,63,1448,0,4,59,63,19,63
1738,Sony,83,2186,0,5,78,83,41,83
1739,SonySemiconductorIsraelSony,59,968,0,2,57,59,12,59
1740,Sophos,129,3873,0,14,115,129,60,129
1741,SORBAIoT,35,773,0,3,32,35,20,35
1742,SOSLab,77,1489,0,4,73,77,18,77
1743,SpaceAgeLabs,52,929,0,2,50,52,20,52
1744,SparkCognition,92,2002,0,2,90,92,33,92
1745,SPARKL,56,1207,0,3,53,56,22,56
1746,SparksDynamics,135,3681,0,9,126,135,65,135
1747,SparxITSolutions,76,1268,0,2,74,76,24,76
1748,spdukraine,113,2423,0,7,106,113,34,113
1749,SPECINDIA,45,820,0,1,44,45,11,45
1750,SpectrumControls,44,858,0,3,41,44,24,44
1751,SpeedshieldTechnologies,70,1725,0,6,64,70,32,70
1752,Spensa,33,612,0,0,33,33,14,33
1753,Spify,105,1712,0,9,96,105,32,105
1754,SpimeSenseLabs,29,510,0,1,28,29,8,29
1755,SpindernetITSolutions,9,74,0,0,9,9,1,9
1756,SpinwaveSystems,4,28,0,1,3,4,1,4
1757,SpiraeLLC,80,1568,0,7,73,80,30,80
1758,Splunk,147,2813,0,7,140,147,46,147
1759,sposync,37,602,0,0,37,37,15,37
1760,SpotnRides,33,532,0,2,31,33,9,33
1761,SpotnStay,25,417,0,0,25,25,8,25
1762,Sprint,191,3493,0,11,180,191,62,190
1763,SPSamson,136,2704,0,8,128,136,43,136
1764,SSTCOMM,23,484,0,1,22,23,14,23
1765,SSTWireless,36,862,0,1,35,36,12,36
1766,StandardRobots,297,6368,0,12,285,297,134,297
1767,StanleyHealthcare,46,935,0,0,46,46,19,46
1768,Star,87,1604,0,1,86,87,22,87
1769,Starhub,49,872,0,2,47,49,19,49
1770,StarshipTechnologies,103,1859,0,4,99,103,36,103
1771,Statwig,31,484,0,0,31,31,11,31
1772,SteamaCo,25,532,0,1,24,25,10,25
1773,STEngineering,6,137,0,1,5,6,2,6
1774,Sternum,77,2176,0,4,73,77,36,77
1775,STMicroelectronics,13,212,0,1,12,13,5,13
1776,Stratoscale,40,644,0,0,40,40,16,40
1777,Striim,112,2523,0,6,106,112,35,112
1778,Stubli,44,806,0,0,44,44,11,44
1779,Sturfee,2,42,0,0,2,2,1,2
1780,Subex,249,5179,0,8,241,249,89,249
1781,SubexSecure,249,5179,0,8,241,249,89,249
1782,Sucheon,21,280,0,1,20,21,9,21
1783,SumeruVerdeTechnologies,80,1655,0,1,79,80,25,80
1784,SuntekAutomation,53,933,0,0,53,53,21,53
1785,SUPCONGroup,2,8,0,0,2,2,1,2
1786,Supermicro,166,3373,0,10,156,166,49,166
1787,SuperRFID,14,141,0,0,14,14,3,14
1788,SupplyDynamics,47,705,0,0,47,47,11,47
1789,SupplyShift,35,929,0,1,34,35,12,35
1790,SupplyStack,54,1122,0,4,50,54,21,54
1791,SurePark,87,1967,0,1,86,87,33,87
1792,SureViewInstrumentsIndia,140,3013,0,2,138,140,40,140
1793,SUSE,161,3309,0,19,142,161,61,161
1794,Swimai,199,4973,0,19,180,199,87,199
1795,Swissbit,148,3709,0,4,144,148,64,148
1796,SwitchAutomation,86,1587,0,7,79,86,35,86
1797,Switchon,77,1640,0,4,73,77,28,77
1798,Swrve,76,1808,0,6,70,76,31,76
1799,Sycor,65,1285,1,3,61,65,22,65
1800,SymbioRobotics,56,1196,0,1,55,56,21,56
1801,SynapIoT,20,234,0,1,19,20,5,20
1802,SynapseWireless,33,731,0,4,29,33,18,33
1803,Synaptics,84,2026,0,5,79,84,34,84
1804,SynergisSoftware,126,2593,0,10,116,126,50,126
1805,SynSense,110,2416,0,10,100,110,39,110
1806,SyntecTechnology,73,1486,0,3,70,73,25,73
1807,Sysmex,106,2629,0,8,98,106,45,106
1808,SYSPRO,47,1281,0,5,42,47,22,47
1809,SYSTEMAGmbH,120,2509,0,5,115,120,42,120
1810,Tableau,47,962,0,3,44,47,23,47
1811,Tachyus,78,1700,0,9,69,78,32,78
1812,TAGOptics,23,438,0,0,23,23,4,23
1813,TAIAN,52,938,0,0,52,52,20,52
1814,TaiwanSemiconductor,95,2528,0,4,91,95,30,95
1815,TaiwanSemiconductorManufacturingCompanyLtdTSMC,95,2528,0,4,91,95,30,95
1816,TaiyoYuden,169,4724,0,6,163,169,81,169
1817,Talentcloud,10,161,0,0,10,10,2,10
1818,TargetNXT,56,1079,0,2,54,56,16,56
1819,TASM2M,72,1252,0,0,72,72,9,72
1820,TataCommunications,149,4234,0,9,140,149,59,149
1821,TataConsultancyServices,74,1864,0,8,66,74,33,74
1822,TataConsultingEngineersLimited,73,1620,2,1,70,73,24,73
1823,TDInsights,83,1129,0,3,80,83,22,83
1824,TDTechNokiaampHuawei,113,2220,0,12,101,113,48,113
1825,TeamViewer,39,742,0,0,39,39,21,39
1826,TechAvidus,68,995,0,0,68,68,15,68
1827,TechExcel,81,1699,0,1,80,81,27,81
1828,TechMahindra,69,1565,0,9,60,69,30,69
1829,TechmanRobotInc,25,375,0,1,24,25,10,25
1830,technicolor,91,1656,0,8,83,91,32,91
1831,TechnosphereLabs,14,249,0,0,14,14,2,14
1832,Technoton,26,443,0,2,24,26,12,26
1833,TechnotonEngineering,28,490,0,2,26,28,12,28
1834,Technource,32,363,0,0,32,32,9,32
1835,Tecnologic,597,12032,0,10,587,597,292,597
1836,TeDaLoS,49,868,0,0,49,49,16,49
1837,Teeptrak,50,832,0,1,49,50,13,50
1838,TekelekGroup,68,1080,0,1,67,68,22,68
1839,TeksunInc,43,593,0,1,42,43,8,43
1840,TELE2,60,1167,0,1,59,60,25,60
1841,TeledyneTechnologies,48,966,0,1,47,48,11,48
1842,Telefonica,54,1441,0,1,53,54,22,54
1843,Telensa,94,1797,0,3,91,94,32,94
1844,TeleSourceCommunications,44,953,0,0,44,44,19,44
1845,Telezone,24,355,0,1,23,24,6,24
1846,Telia,38,693,0,0,38,38,13,38
1847,TelicAG,44,1059,0,2,42,44,17,44
1848,Telkonet,22,349,0,2,20,22,6,22
1849,Tellabs,86,1604,0,23,63,86,50,86
1850,Telstra,166,3078,0,3,163,166,37,166
1851,Teltonika,81,1845,0,6,75,81,28,81
1852,TeltonikaCanada,81,1845,0,6,75,81,28,81
1853,Temboo,71,1485,0,4,67,71,17,71
1854,Tempestive,82,1774,0,2,80,82,25,82
1855,TempGenius,213,5281,1,21,191,213,94,213
1856,TempoAutomation,35,617,0,1,34,35,7,35
1857,Tenable,188,3808,0,7,181,188,62,188
1858,TenAsys,35,665,0,4,31,35,19,35
1859,TencentCloud,220,4754,0,2,218,220,64,220
1860,Tendai,145,3808,0,22,123,145,64,145
1861,TeraCode,57,917,0,2,55,57,16,57
1862,Teradata,16,318,0,0,16,16,3,16
1863,Teraki,69,1203,0,2,67,69,20,69
1864,TerasicTechnologies,41,618,0,1,40,41,12,41
1865,Terbine,77,1925,0,5,72,77,33,77
1866,Terepac,43,1033,0,0,43,43,17,43
1867,TetraScience,66,1426,0,5,61,66,22,66
1868,Thales,26,523,0,2,24,26,10,26
1869,ThalesGroup,26,523,0,2,24,26,10,26
1870,TheHiTechRoboticSystemz,17,389,0,2,15,17,10,17
1871,TheJaiGroup,51,1052,0,5,46,51,19,51
1872,ThetaRay,108,2433,0,17,91,108,51,108
1873,thethingsio,192,5414,0,11,181,192,100,192
1874,thethingsystem,27,534,0,1,26,27,7,27
1875,ThinfilmElectronicsASA,60,970,0,2,58,60,16,60
1876,Thing,36,647,0,1,35,36,10,36
1877,Thingerio,38,677,0,1,37,38,15,38
1878,ThingLogix,57,1347,0,5,52,57,20,57
1879,ThingsBoard,47,841,0,0,47,47,19,47
1880,Thingspeak,37,536,0,2,35,37,12,37
1881,Thingsquare,39,534,0,5,34,39,11,39
1882,Thingstel,104,2228,0,3,101,104,42,104
1883,ThingTech,4,41,0,0,4,4,0,4
1884,ThingTrax,68,1206,0,0,68,68,22,68
1885,Thingworks,56,1457,0,5,51,56,22,56
1886,ThingWorxPTC,56,1457,0,5,51,56,22,56
1887,ThinkPalmTechnologiesPvtLtd,29,623,0,3,26,29,15,29
1888,ThoughtSpot,104,2100,0,4,100,104,28,104
1889,ThoughtWorks,213,4105,0,15,198,213,80,213
1890,ThreeBIT,104,2275,0,3,101,104,33,104
1891,Thyssenkrupp,93,1942,0,4,89,93,30,93
1892,TianchenElectric,27,683,0,2,25,27,10,27
1893,TibboSystems,40,834,0,4,36,40,16,40
1894,TIBCOSoftware,146,2990,1,5,140,146,52,146
1895,Tiertime,79,1827,0,6,73,79,38,79
1896,Tieto,125,2783,0,2,123,125,53,125
1897,Timescale,193,4626,0,14,179,193,70,193
1898,TMobileDeutscheTelekom,3,28,0,1,2,3,1,3
1899,TOAElectronicsInc,51,1021,0,5,46,51,14,51
1900,Tobii,152,3102,0,14,138,152,43,152
1901,TokyoElectronDeviceLtd,26,710,1,1,24,26,12,26
1902,TongfangCloudComputingTechnology,8,122,0,0,8,8,2,8
1903,TopConnect,106,2465,0,7,99,106,40,106
1904,TopperFloatingSolarPVMountingManufacturerCoLtd,9,95,0,0,9,9,2,9
1905,Topsec,78,1591,0,7,71,78,27,78
1906,Toradex,111,2331,0,6,105,111,29,111
1907,Toshiba,42,980,0,3,39,42,17,42
1908,TOSHIKCON,37,552,0,3,34,37,18,37
1909,TotalETO,65,1392,0,4,61,65,22,65
1910,ToyotaMaterialHandlingEurope,85,1694,0,7,78,85,28,85
1911,TQSystems,15,224,0,0,15,15,5,15
1912,TranscendCommunication,130,3660,0,7,123,130,58,130
1913,TransitionNetworks,117,2140,0,2,115,117,30,117
1914,TransitionTechnologies,32,654,0,2,30,32,14,32
1915,TransVoyant,105,2306,0,2,103,105,38,105
1916,Traverse,107,2708,0,10,97,107,42,107
1917,TrendMicro,11,145,0,0,11,11,3,11
1918,TrendMiner,92,2113,0,6,86,92,33,92
1919,TridiumHoneywell,107,2700,0,7,100,107,29,107
1920,TrilliumIncorporated,30,658,0,3,27,30,13,30
1921,TrippLite,93,1772,0,5,88,93,27,93
1922,Trumpf,307,5161,0,10,297,307,101,307
1923,TSystemsDeutscheTelekom,113,2445,0,6,107,113,45,113
1924,TulipInterfaces,199,4541,0,24,175,199,88,199
1925,Turck,39,784,0,4,35,39,12,39
1926,TuringRobot,136,2952,0,3,133,136,50,136
1927,Turnsmith,41,891,0,2,39,41,14,41
1928,TuSimple,109,2201,0,5,104,109,31,109
1929,TVInformationstechnikGmbH,159,3337,0,8,151,159,60,159
1930,Twikit,52,1348,0,0,52,52,13,52
1931,Twilio,349,7949,0,37,312,349,155,349
1932,TwinOaksComputing,60,1221,0,2,58,60,19,60
1933,Twixsoft,30,525,0,1,29,30,14,30
1934,Uavia,33,547,0,1,32,33,12,33
1935,uBeac,53,1061,0,3,50,53,17,53
1936,Ubidots,54,1387,0,3,51,54,26,54
1937,Ubiik,85,1753,0,2,83,85,26,85
1938,Ubuntu,150,2738,1,7,142,150,45,150
1939,UCloud,90,1784,1,3,86,90,28,90
1940,Udhyog40LLP,6,21,0,0,6,6,0,6
1941,Uffizio,66,1305,0,3,63,66,21,66
1942,UgMOTechnologies,8,118,0,1,7,8,3,8
1943,UL,81,1538,0,1,80,81,19,81
1944,ulalaLAB,68,1494,0,6,62,68,23,68
1945,UMEInfo,53,1093,0,4,49,53,22,53
1946,UnaBiz,86,1508,0,3,83,86,11,86
1947,UNICOMEngineering,81,1465,0,3,78,81,26,81
1948,Unifly,208,4172,0,11,197,208,72,208
1949,Unioncrate,23,395,0,0,23,23,10,23
1950,Unisys,108,2414,0,9,99,108,39,108
1951,UnitedElectronicIndustries,49,964,1,4,44,49,15,49
1952,UNITYConsulting,95,1719,0,5,90,95,34,95
1953,UniversalScientificIndustrial,36,1169,0,5,31,36,15,36
1954,UniviewChinaTransinfo,97,2427,1,7,89,97,52,97
1955,Upskill,119,2350,0,12,107,119,51,119
1956,UpSwift,80,1731,0,5,75,80,34,80
1957,Uptake,90,1788,0,2,88,90,21,90
1958,URBANTZ,68,1749,0,8,60,68,31,68
1959,Urbint,140,2697,0,10,130,140,44,140
1960,Urbiotica,10,289,0,1,9,10,4,10
1961,UrsalinkTechnology,66,1503,0,4,62,66,22,66
1962,USATechnologies,54,956,0,0,54,54,20,54
1963,UTILEV,74,1805,0,6,68,74,31,74
1964,utthunga,34,826,0,1,33,34,16,34
1965,UtthungaTechnologies,34,826,0,1,33,34,16,34
1966,UTTTechnologies,29,427,0,1,28,29,13,29
1967,V2COM,62,1305,0,2,60,62,18,62
1968,VadaTech,28,513,0,1,27,28,7,28
1969,Vaisto,24,371,0,4,20,24,11,24
1970,Valarm,95,2215,0,6,89,95,36,95
1971,Variantz,141,3096,0,12,129,141,47,141
1972,Variscite,23,455,0,0,23,23,4,23
1973,VARJO,60,1395,0,3,57,60,22,60
1974,VDOO,52,1003,0,6,46,52,19,52
1975,Vechain,120,2814,0,5,115,120,52,120
1976,Vector,160,3271,0,12,148,160,61,160
1977,VegamSolutions,8,137,0,0,8,8,3,8
1978,Velocio,67,1191,0,4,63,67,20,67
1979,VentureTechnologies,27,521,0,2,25,27,11,27
1980,VeoRobotics,24,498,0,0,24,24,12,24
1981,VerdigrisTechnologies,53,1046,0,3,50,53,15,53
1982,VeridifySecurity,79,2293,0,8,71,79,44,79
1983,Verimatrix,174,3548,0,9,165,174,61,174
1984,VersaFleet,47,1123,0,4,43,47,24,47
1985,VersaLogic,85,2076,0,13,72,85,41,85
1986,Vertex,129,3160,0,5,124,129,32,129
1987,VGSmartGlass,50,1032,0,5,45,50,21,50
1988,ViaviSolutions,36,624,0,3,33,36,9,36
1989,Videas,76,1526,0,8,68,76,29,76
1990,Viezo,14,362,0,0,14,14,13,14
1991,VIGNANINSTRUMENTS,25,481,0,0,25,25,9,25
1992,VINCIDigital,96,1683,0,5,91,96,26,96
1993,Vinnter,21,357,0,1,20,21,6,21
1994,VionTech,34,551,0,1,33,34,7,34
1995,VirgilSecurity,7,119,0,0,7,7,0,7
1996,Vishay,194,3967,0,21,173,194,93,194
1997,VISIONERF,23,356,0,0,23,23,7,23
1998,VisionLabApps,68,1530,0,4,64,68,21,68
1999,VisionMC,59,1179,0,1,58,59,21,59
2000,VisualCommunicationsCompany,88,1962,0,5,83,88,29,88
2001,VitalConnect,46,848,0,1,45,46,20,46
2002,VitaNetInc,33,583,0,0,33,33,10,33
2003,VitroTechnologyCorporation,36,809,0,0,36,36,10,36
2004,ViTrox,15,326,0,1,14,15,5,15
2005,VividWorks,45,632,0,5,40,45,15,45
2006,VivifyHealth,125,3293,0,11,114,125,59,125
2007,Vizibl,90,1604,0,2,88,90,22,90
2008,VKS,41,789,0,0,41,41,17,41
2009,VMwareDELLDellTechnologies,59,885,0,3,56,59,10,59
2010,VOCSens,9,122,0,0,9,9,1,9
2011,Vodafone,136,1746,0,9,127,136,25,136
2012,Voith,80,1550,0,2,78,80,20,80
2013,Volansys,60,1057,0,1,59,60,18,60
2014,Volex,63,1595,0,3,60,63,17,63
2015,Volocopter,193,3102,0,13,180,193,62,193
2016,VoltaicSystems,45,1112,0,8,37,45,20,45
2017,Vopak,34,701,0,5,29,34,18,34
2018,Vultr,88,1778,0,3,85,88,24,88
2019,VUZIX,52,1128,0,1,51,52,19,52
2020,VVDNTECHNOLOGIES,66,1337,0,3,63,66,22,66
2021,W2SSolutions,29,503,0,4,25,29,9,29
2022,WABTEC,75,1965,0,3,72,75,27,75
2023,Wahtari,30,345,0,0,30,30,8,30
2024,WakeCapTechnologies,30,638,0,3,27,30,14,30
2025,Wandelbots,252,5394,0,11,241,252,90,252
2026,Wapice,51,660,0,3,48,51,13,51
2027,Wasslz,68,1304,0,3,65,68,27,68
2028,WatchNETIoT,71,1609,0,4,67,71,24,71
2029,WaterfallSecuritySolutionsLTD,45,1012,0,1,44,45,18,45
2030,WaterGroup,57,1126,1,4,52,57,23,57
2031,WaterlooSoftware,37,758,0,0,37,37,12,37
2032,Waterstream,95,2001,0,3,92,95,32,95
2033,WattIQ,43,849,0,3,40,43,11,43
2034,Wavetronix,396,7110,0,5,391,396,163,396
2035,WAVIoT,190,4757,0,8,182,190,73,189
2036,Waylay,110,2758,0,11,99,110,59,110
2037,WayRay,52,1091,0,3,49,52,22,52
2038,WeAlwinTechnologies,60,846,0,1,59,60,15,60
2039,WeAre,109,2009,1,2,106,109,37,109
2040,Webalo,74,1505,0,4,70,74,21,74
2041,WeBee,95,1801,0,4,91,95,34,95
2042,WebNMSIoT,241,5439,0,10,231,241,78,241
2043,weeve,52,1041,0,2,50,52,16,52
2044,WEISS,65,1322,0,5,60,65,29,65
2045,WellinTech,11,150,0,0,11,11,3,11
2046,WeMakeIoT,138,3003,0,5,133,138,30,138
2047,WEMS,21,576,0,3,18,21,12,21
2048,Werma,129,2637,0,8,121,129,42,129
2049,WestekTechnology,35,838,0,4,31,35,19,35
2050,WhaleDI,38,777,0,2,36,38,15,38
2051,WhereScape,225,6239,0,41,184,225,128,225
2052,WhiteTailAutomation,18,216,0,0,18,18,6,18
2053,WhitewallEnergy,56,895,0,0,56,56,15,56
2054,WhizNets,41,697,0,2,39,41,11,41
2055,WIBUSYSTEMS,149,2764,0,9,140,149,47,149
2056,WiGL,31,574,0,0,31,31,10,31
2057,WildcatDiscoveryTechnologies,21,439,0,1,20,21,8,21
2058,Wiliot,87,2331,0,6,81,87,42,87
2059,WindRiver,102,2449,0,8,94,102,29,102
2060,Wing,93,1654,0,2,91,93,18,93
2061,Wingtra,175,3905,1,13,161,175,61,174
2062,WinmateCommunicationInc,55,1118,0,3,52,55,22,55
2063,WinnerMicro,169,4342,0,16,153,169,67,169
2064,WinSystems,79,1867,0,10,69,79,43,79
2065,WinWire,40,658,0,2,38,40,11,40
2066,Wipelot,59,1153,1,7,51,59,26,59
2067,Wipro,153,3341,0,6,147,153,48,153
2068,WirelessGlueNetworks,40,786,0,5,35,40,23,40
2069,WirelessSensors,15,333,0,0,15,15,6,15
2070,WirelessTag,56,1350,0,2,54,56,22,56
2071,Wirepas,30,534,0,2,28,30,12,30
2072,WISEAI,39,801,0,0,39,39,10,39
2073,WISERSystems,15,172,0,1,14,15,6,15
2074,WiseSystems,67,1360,0,5,62,67,27,67
2075,WistronCorporation,8,115,0,0,8,8,4,8
2076,Witekio,58,856,0,2,56,58,24,58
2077,Witium,12,236,0,0,12,12,2,12
2078,Wiwynn,54,1025,0,2,52,54,13,54
2079,WondersInformation,164,3040,0,15,149,164,59,164
2080,WORKERBASE,95,1727,0,7,88,95,34,95
2081,WorkWiseSoftware,39,723,0,5,34,39,17,39
2082,WorldAware,151,3996,0,22,129,151,78,151
2083,XARIONLaserAcoustics,18,285,0,1,17,18,6,18
2084,Xavor,50,1114,0,3,47,50,29,50
2085,Xenius,31,612,0,2,29,31,18,31
2086,Xenoma,72,1407,0,5,67,72,20,72
2087,Xerafy,17,327,0,1,16,17,9,17
2088,Xformics,57,1347,0,3,54,57,35,57
2089,XiamenAlotcerCommunicationTechnology,23,391,0,0,23,23,5,23
2090,XiamenAlotcerCommunicationTechnologyCoLtd,23,391,0,0,23,23,5,23
2091,XiamenFourFaithCommunicationTechnology,5,141,0,1,4,5,3,5
2092,XiamenFourFaithSmartPowerTechnologyCoLtd,10,164,0,0,10,10,1,10
2093,XLOONG,29,456,0,0,29,29,11,29
2094,XOEyeTechnologies,84,1834,0,5,79,84,29,84
2095,Xompass,138,3189,0,10,128,138,50,138
2096,XpedLimited,27,461,0,0,27,27,6,27
2097,Xylem,67,1686,0,13,54,67,38,67
2098,XYZReality,93,1777,0,4,89,93,28,93
2099,Yageo,28,725,1,2,25,28,13,28
2100,Yale,21,414,0,3,18,21,11,21
2101,YamahaMotor,161,3640,0,15,146,161,70,161
2102,YandexDataFactory,100,2298,0,13,87,100,42,100
2103,YaskawaElectricCorporation,34,689,0,1,33,34,11,34
2104,Yeefung,9,109,0,0,9,9,2,9
2105,Yellowfin,43,1031,0,3,40,43,18,43
2106,Yitu,90,1609,0,6,84,90,34,90
2107,Yodiwo,130,3056,0,8,122,130,50,130
2108,YonyouCloudYonyou,120,2972,0,11,109,120,53,120
2109,YonyouNetwork,120,2972,0,11,109,120,53,120
2110,YoupuCommunications,55,1239,0,5,50,55,24,55
2111,YourTeaminIndia,31,520,0,0,31,31,7,31
2112,Youtomatic,255,5362,0,20,235,255,76,255
2113,Yuemes,17,291,0,0,17,17,6,17
2114,Z3TechnologyLLC,37,543,0,0,37,37,8,37
2115,ZealousSystem,129,2535,0,3,126,129,43,129
2116,ZebraTechnologies,93,2044,0,18,75,93,46,93
2117,ZeidmanTechnologiesOutofBusiness,15,276,0,6,9,15,11,15
2118,Zenlayer,98,2227,0,6,92,98,38,98
2119,Zenner,8,56,0,1,7,8,3,8
2120,ZennerConnect,107,2017,0,6,101,107,29,107
2121,ZensarTechnologies,145,3167,0,8,137,145,63,145
2122,Zensor,82,1757,0,3,79,82,25,82
2123,ZeroKey,43,738,0,2,41,43,14,43
2124,ZeroneConsulting,47,867,0,0,47,47,15,47
2125,ZeroneTechnologies,16,332,0,2,14,16,6,16
2126,Zest4,25,550,0,1,24,25,8,25
2127,ZettaSystemsLimited,67,1269,0,4,63,67,27,67
2128,ZFFriedrichshafenAG,105,2613,0,8,97,105,46,105
2129,ZfortGroup,41,610,0,2,39,41,8,41
2130,Zhizaoyun,20,247,0,0,20,20,8,20
2131,ZINTechnologies,46,765,0,0,46,46,12,46
2132,Zscaler,119,2584,0,8,111,119,44,119
2133,ZTE,276,5654,0,19,257,276,95,276
